fill_id,datetime_utc,date,market_question,market_id_short,side,action_plain,size_shares,price,notional_usd,mid,edge_vs_mid_cents,inv_yes_after,inv_no_after,net_inv_after,cash_after,fee,rebate
1,2026-07-12T00:01:00+00:00,2026-07-12,Iran leadership change by December 31?,0x377e7fe6,buy_yes,Bought YES (bid hit),103.28,0.22,22.7216,0.17,-5,103.28,0,103.28,9977.28,0,0
2,2026-07-12T00:18:00+00:00,2026-07-12,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),115.674,0.15,17.351,0.155,-0.5,0,115.674,-115.674,9896.31,0,0
3,2026-07-13T00:00:00+00:00,2026-07-13,Will the Sweden Democrats (SD) win the second most seats in the 2026 Swedish parliamentary election?,0x9e2966ab,buy_yes,Bought YES (bid hit),61.968,0.77,47.7154,0.415,-35.5,61.968,0,61.968,9904.31,0,0
4,2026-07-13T00:07:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),106.378,0.19,20.2119,0.155,-3.5,106.378,115.674,-9.2952,9884.1,0,0
5,2026-07-13T06:41:00+00:00,2026-07-13,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.57,58.8696,0.575,-0.5,0,103.28,-103.28,9898.56,0,0
6,2026-07-13T09:49:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.16,16.5248,0.14,-2,209.658,115.674,93.9848,9882.03,0,0
7,2026-07-13T09:51:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),103.28,0.15,15.492,0.15,-0,106.378,115.674,-9.2952,9897.52,0,0
8,2026-07-13T11:22:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.16,16.5248,0.155,-0.5,209.658,115.674,93.9848,9881,0,0
9,2026-07-13T11:33:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),106.378,0.16,17.0205,0.165,-0.5,103.28,115.674,-12.3936,9898.02,0,0
10,2026-07-13T11:40:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),106.378,0.17,18.0843,0.17,-0,209.658,115.674,93.9848,9879.94,0,0
11,2026-07-13T11:41:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),103.28,0.17,17.5576,0.175,-0.5,106.378,115.674,-9.2952,9897.49,0,0
12,2026-07-13T11:42:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.17,17.5576,0.165,-0.5,209.658,115.674,93.9848,9879.94,0,0
13,2026-07-13T12:08:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),103.28,0.15,15.492,0.155,-0.5,106.378,115.674,-9.2952,9895.43,0,0
14,2026-07-13T12:22:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.15,15.492,0.145,-0.5,209.658,115.674,93.9848,9879.94,0,0
15,2026-07-13T12:28:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),103.28,0.15,15.492,0.15,-0,106.378,115.674,-9.2952,9895.43,0,0
16,2026-07-13T12:46:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),106.378,0.16,17.0205,0.145,-1.5,212.757,115.674,97.0832,9878.41,0,0
17,2026-07-13T12:55:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),106.378,0.16,17.0205,0.165,-0.5,106.378,115.674,-9.2952,9895.43,0,0
18,2026-07-13T14:15:00+00:00,2026-07-13,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,buy_yes,Bought YES (bid hit),56.2876,0.41,23.0779,0.385,-2.5,56.2876,0,56.2876,9872.35,0,0
19,2026-07-13T14:38:00+00:00,2026-07-13,Iran leadership change by December 31?,0x377e7fe6,sell_yes,Sold YES (ask lifted),118.772,0.2,23.7544,0.21,-1,0,15.492,-15.492,9883.71,0,0
20,2026-07-13T14:42:00+00:00,2026-07-13,Iran leadership change by December 31?,0x377e7fe6,buy_yes,Bought YES (bid hit),103.28,0.23,23.7544,0.23,-0,103.28,15.492,87.788,9859.96,0,0
